,Title,Wage min,Wage max,Currency,Link,Source
171,Lead Data Engineer,0,0,0,https://nn.hh.ru/vacancy/75782775?from=vacancy_search_list&query=Data,hh
172,Operational Analyst,0,0,0,https://nn.hh.ru/vacancy/76785446?from=vacancy_search_list&query=Data,hh
173,Ведущий аудитор - Data Scientist,0,0,0,https://nn.hh.ru/vacancy/77048160?from=vacancy_search_list&query=Data,hh
174,Web Analyst (зарубежный EdTech),120000,0,руб.,https://nn.hh.ru/vacancy/77125528?from=vacancy_search_list&query=Data,hh
175,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/76963121?from=vacancy_search_list&query=Data,hh
176,Local Analyst (Africa),0,0,0,https://nn.hh.ru/vacancy/76907153?from=vacancy_search_list&query=Data,hh
177,Credit risk analyst,0,0,0,https://nn.hh.ru/vacancy/75705029?from=vacancy_search_list&query=Data,hh
178,Инженер данных (Data Engineer),0,0,0,https://nn.hh.ru/vacancy/76751263?from=vacancy_search_list&query=Data,hh
179,Data Engineer/ETL Developer,0,0,0,https://nn.hh.ru/vacancy/77193597?from=vacancy_search_list&query=Data,hh
180,Senior Data Engineer,0,0,0,https://nn.hh.ru/vacancy/75783349?from=vacancy_search_list&query=Data,hh
181,Data Scientist / Специалист по работе с искусственным интеллектом,0,0,0,https://nn.hh.ru/vacancy/69379894?from=vacancy_search_list&query=Data,hh
182,"Intern, Financial Risk Management Group",0,0,0,https://nn.hh.ru/vacancy/77191849?from=vacancy_search_list&query=Data,hh
183,Senior Data-Engineer,0,0,0,https://nn.hh.ru/vacancy/77135900?from=vacancy_search_list&query=Data,hh
184,Senior Data Engineer (DWH),0,0,0,https://nn.hh.ru/vacancy/76954495?from=vacancy_search_list&query=Data,hh
185,Database & BI reporting manager,0,0,0,https://nn.hh.ru/vacancy/76503764?from=vacancy_search_list&query=Data,hh
186,Big Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76085109?from=vacancy_search_list&query=Data,hh
187,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76703124?from=vacancy_search_list&query=Data,hh
188,Продуктовый аналитик в монетизацию Яндекс.Карт,0,0,0,https://nn.hh.ru/vacancy/75695417?from=vacancy_search_list&query=Data,hh
189,Senior Data Engineer,0,0,0,https://nn.hh.ru/vacancy/75783350?from=vacancy_search_list&query=Data,hh
190,Data аналитик по финансовым рискам,0,0,0,https://nn.hh.ru/vacancy/77059016?from=vacancy_search_list&query=Data,hh
191,Senior Data Scientist в направление продаж,0,0,0,https://nn.hh.ru/vacancy/77184848?from=vacancy_search_list&query=Data,hh
192,Data engineer,0,0,0,https://nn.hh.ru/vacancy/72679130?from=vacancy_search_list&query=Data,hh
193,Middle+/Senior Data Scientist в Блок Финансы,0,0,0,https://nn.hh.ru/vacancy/76955337?from=vacancy_search_list&query=Data,hh
194,Data Scientist – Senior/Chief,0,0,0,https://nn.hh.ru/vacancy/76931699?from=vacancy_search_list&query=Data,hh
195,Старший менеджер по бизнес-анализу и планированию продаж,115000,0,руб.,https://nn.hh.ru/vacancy/76946089?from=vacancy_search_list&query=Data,hh
196,Senior Python разработчик (Intelligent Document Processing),200000,400000,руб.,https://nn.hh.ru/vacancy/77016383?from=vacancy_search_list&query=Data,hh
197,Middle Data Analyst,0,0,0,https://nn.hh.ru/vacancy/73908144?from=vacancy_search_list&query=Data,hh
198,Аналитик данных / Data analyst (отдел собственных закупок),0,0,0,https://nn.hh.ru/vacancy/75984250?from=vacancy_search_list&query=Data,hh
199,Business Analyst,0,0,0,https://nn.hh.ru/vacancy/76983073?from=vacancy_search_list&query=Data,hh
200,Бизнес-аналитик,0,160000,руб.,https://nn.hh.ru/vacancy/77120168?from=vacancy_search_list&query=Data,hh
201,Программист C++ (Data scientist),0,0,0,https://nn.hh.ru/vacancy/76225469?from=vacancy_search_list&query=Data,hh
202,Системный аналитик (systems analyst),120000,0,руб.,https://nn.hh.ru/vacancy/77145441?from=vacancy_search_list&query=Data,hh
203,Data Scientist (SberDevices),0,0,0,https://nn.hh.ru/vacancy/68148229?from=vacancy_search_list&query=Data,hh
204,Разметчик данных для машинного обучения,4000,20000,руб.,https://nn.hh.ru/vacancy/76894175?from=vacancy_search_list&query=Data,hh
205,Data Engineer (BigData),0,0,0,https://nn.hh.ru/vacancy/76539993?from=vacancy_search_list&query=Data,hh
206,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76957555?from=vacancy_search_list&query=Data,hh
207,Data Scientist (middle/senior),0,400000,руб.,https://nn.hh.ru/vacancy/70163749?from=vacancy_search_list&query=Data,hh
208,"Traffic Manager/Media Buyer (Google Ads, DV360, TikTok)",0,0,0,https://nn.hh.ru/vacancy/76913160?from=vacancy_search_list&query=Data,hh
209,Data-аналитик,0,120000,руб.,https://nn.hh.ru/vacancy/75783908?from=vacancy_search_list&query=Data,hh
210,Data Analyst (отдел Клиники),150000,0,руб.,https://nn.hh.ru/vacancy/76700806?from=vacancy_search_list&query=Data,hh
211,SQL-разработчик,0,65000,руб.,https://nn.hh.ru/vacancy/76988404?from=vacancy_search_list&query=Data,hh
212,Аналитик данных,0,0,0,https://nn.hh.ru/vacancy/77079684?from=vacancy_search_list&query=Data,hh
213,Data Analyst / Аналитик данных,100000,120000,руб.,https://nn.hh.ru/vacancy/72492020?from=vacancy_search_list&query=Data,hh
214,Junior Publisher Manager,0,0,0,https://nn.hh.ru/vacancy/77142528?from=vacancy_search_list&query=Data,hh
215,Senior Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76408933?from=vacancy_search_list&query=Data,hh
216,Power BI Developer,0,0,0,https://nn.hh.ru/vacancy/76085103?from=vacancy_search_list&query=Data,hh
217,Дата-аналитик,0,0,0,https://nn.hh.ru/vacancy/73752382?from=vacancy_search_list&query=Data,hh
218,Системный аналитик,0,0,0,https://nn.hh.ru/vacancy/76277871?from=vacancy_search_list&query=Data,hh
219,Data Analyst / Аналитик данных,0,0,0,https://nn.hh.ru/vacancy/76920966?from=vacancy_search_list&query=Data,hh
220,Начинающий специалист (стажёр) по работе с иностранными клиентами,30000,400000,руб.,https://nn.hh.ru/vacancy/51029696?from=vacancy_search_list&query=Data,hh
221,Аналитик данных,0,0,0,https://nn.hh.ru/vacancy/76931147?from=vacancy_search_list&query=Data,hh
222,Техлид,200000,300000,руб.,https://nn.hh.ru/vacancy/76957402?from=vacancy_search_list&query=Data,hh
223,"Автор-лектор курса ""Потоковая обработка данных / Streaming""",0,0,0,https://nn.hh.ru/vacancy/76908912?from=vacancy_search_list&query=Data,hh
224,"Руководитель группы Data Science, NLP",0,0,0,https://nn.hh.ru/vacancy/72702509?from=vacancy_search_list&query=Data,hh
225,Middle Office Analyst,400000,600000,руб.,https://nn.hh.ru/vacancy/76774288?from=vacancy_search_list&query=Data,hh
226,Руководитель практики по управлению данными,0,0,0,https://nn.hh.ru/vacancy/72070910?from=vacancy_search_list&query=Data,hh
227,Аналитик данных / Data Insight Analytic,220000,0,руб.,https://nn.hh.ru/vacancy/76754279?from=vacancy_search_list&query=Data,hh
228,Chief Data Scientist / DS Team Lead,0,0,0,https://nn.hh.ru/vacancy/71354549?from=vacancy_search_list&query=Data,hh
